half,reputation,exact value,emotion,race,sex,identity,image
1,low,21,exci,asian,male,a,AAM25new_hap5x.jpg
1,high,80,calm,white,female,a,EAW1_hap1x.jpg
1,mod,47,neut,asian,male,a,AAM10_neux.jpg
1,low,21,exci,white,male,a,EAM6_hap5x.jpg
1,mod,48,exci,white,female,a,EAW22_hap5x.jpg
1,high,84,neut,asian,female,a,AAW10_neux.jpg
1,mod,54,calm,white,male,a,EAM16_hap1x.jpg
1,high,77,exci,white,female,a,EAW2new_hap5x.jpg
1,mod,49,exci,asian,male,a,AAM14_hap5x.jpg
1,low,20,calm,asian,female,a,AAW7_hap1x.jpg
1,low,25,neut,white,female,a,EAW13_neux.jpg
1,high,83,calm,white,male,a,EAM21_hap1x.jpg
1,high,82,neut,asian,male,a,AAM12_neux.jpg
1,low,20,calm,white,female,a,EAW4_hap1x.jpg
1,high,85,exci,asian,male,a,AAM8_hap5x.jpg
1,low,22,neut,asian,female,a,AAW4_neux.jpg
1,mod,53,calm,white,female,a,EAW6_hap1x.jpg
1,high,81,calm,asian,male,a,AAM4_hap1x.jpg
1,high,82,neut,white,female,a,EAW16_neux.jpg
1,low,21,calm,asian,male,a,AAM17_hap1x.jpg
1,mod,54,calm,asian,female,a,AAW14_hap1x.jpg
1,mod,49,neut,white,male,a,EAM17_neux.jpg
1,low,17,calm,white,male,a,EAM4_hap1x.jpg
1,mod,45,exci,asian,female,a,AAW1_hap5x.jpg
1,mod,48,neut,white,female,a,EAW19_neux.jpg
1,low,17,neut,asian,male,a,AAM8c_neux.jpg
1,mod,52,exci,white,male,a,EAM1_hap5x.jpg
1,high,79,exci,asian,female,a,AAW21_hap5x.jpg
1,low,23,neut,white,male,a,EAM3_neux.jpg
1,low,19,exci,asian,female,a,AAW20_hap5x.jpg
1,high,76,exci,white,male,a,EAM24_hap5x.jpg
1,mod,48,neut,asian,female,a,AAW28_neux.jpg
1,mod,51,calm,asian,male,a,AAM7_hap1x.jpg
1,high,85,neut,white,male,a,EAM9_neux.jpg
1,low,16,exci,white,female,a,EAW5_hap5x.jpg
1,high,78,calm,asian,female,a,AAW3_hap1x.jpg
2,mod,54,exci,white,female,b,EAW7_hap5x.jpg
2,mod,54,calm,asian,male,b,AAM6_hap1x.jpg
2,low,23,exci,white,female,b,EAW8_hap5x.jpg
2,high,81,calm,white,male,b,EAM10_hap1x.jpg
2,low,16,calm,asian,female,b,AAW8_hap1x.jpg
2,high,76,neut,asian,female,b,AAW13_neux.jpg
2,high,84,neut,white,male,b,EAM11_neux.jpg
2,low,24,exci,asian,male,b,AAM5_hap5x.jpg
2,mod,49,calm,white,female,b,EAW8d_hap1x.jpg
2,high,78,calm,asian,male,b,AAM16_hap1x.jpg
2,mod,49,exci,asian,male,b,AAM11_hap5x.jpg
2,low,21,calm,white,female,b,EAW10_hap1x.jpg
2,high,83,exci,asian,female,b,AAW9_hap5x.jpg
2,mod,54,neut,white,male,b,EAM7_neux.jpg
2,high,77,calm,asian,female,b,AAW25_hap1x.jpg
2,mod,52,exci,white,male,b,EAM27_hap5x.jpg
2,mod,53,exci,asian,female,b,AAW8c_hap5x.jpg
2,low,21,neut,white,male,b,EAM19_neux.jpg
2,mod,51,neut,white,female,b,EAW11_neux.jpg
2,mod,54,calm,asian,female,b,AAW6_hap1x.jpg
2,low,18,neut,asian,male,b,AAM21_neux.jpg
2,high,77,calm,white,female,b,EAW17_hap1x.jpg
2,high,80,exci,white,male,b,EAM22_hap5x.jpg
2,low,19,exci,asian,female,b,AAW17_hap5x.jpg
2,mod,48,calm,white,male,b,EAM26_hap1x.jpg
2,low,20,neut,white,female,b,EAW21_neux.jpg
2,mod,47,neut,asian,female,b,AAW24_neux.jpg
2,high,77,exci,asian,male,b,AAM13_hap5x.jpg
2,high,76,exci,white,female,b,EAW9_hap5x.jpg
2,mod,54,neut,asian,male,b,AAM9_neux.jpg
2,low,16,calm,asian,male,b,AAM3_hap1x.jpg
2,high,80,neut,white,female,b,EAW18_neux.jpg
2,low,20,exci,white,male,b,EAM14_hap5x.jpg
2,low,15,neut,asian,female,b,AAW16_neux.jpg
2,high,81,neut,asian,male,b,AAM2_neux.jpg
2,low,18,calm,white,male,b,EAM12_hap1x.jpg
